CAGR in Net Income- Last 5 years,CAGR in Revenues- Last 5 years,Expected Growth in Revenues - Next 2 years
2.19%,11.57%,6.57%
5.83%,7.59%,34.15%
2.75%,2.90%,9.37%
4.80%,5.72%,0.53%
16.04%,21.94%,715.92%
3.49%,6.28%,10.23%
9.92%,7.28%,7.45%
14.47%,9.22%,2.22%
-6.85%,12.06%,10.34%
9.22%,28.58%,16.97%
-16.60%,5.48%,0.16%
3.92%,12.79%,7.03%
20.49%,6.41%,1.67%
2.59%,6.69%,6.67%
-11.40%,16.23%,-0.83%
6.69%,11.32%,-2.65%
-38.50%,-0.76%,-12.17%
3.82%,7.33%,2.10%
19.19%,5.56%,567.46%
17.77%,10.93%,2.67%
6.76%,2.31%,7.26%
8.31%,5.65%,27.92%
1.24%,6.94%,-0.78%
11.61%,18.95%,87.41%
15.90%,41.54%,35.65%
6.27%,4.12%,9.14%
10.05%,14.91%,158.87%
0.00%,-6.32%,-1.96%
17.82%,15.82%,24.96%
7.63%,8.06%,11.73%
4.08%,15.47%,9.51%
8.10%,13.38%,131.71%
14.37%,21.38%,9.51%
9.84%,20.50%,8.83%
6.19%,7.24%,5.62%
-0.98%,18.65%,4.17%
4.17%,3.13%,-4.87%
-1.31%,3.74%,21.95%
12.71%,17.95%,59.09%
6.26%,12.42%,9.39%
22.91%,19.67%,14.83%
29.39%,11.04%,-0.10%
4.10%,18.11%,4.13%
2.93%,10.24%,13.10%
-1.34%,2.25%,8.74%
14.86%,4.72%,5.65%
8.68%,7.76%,17.65%
-12.41%,-0.06%,3.97%
4.21%,6.17%,7.50%
3.42%,4.60%,45.07%
9.70%,4.71%,10.30%
4.71%,-1.31%,1.07%
-14.40%,15.85%,1.94%
11.70%,1.76%,-8.05%
21.15%,23.28%,2.51%
30.55%,27.45%,1.35%
12.93%,7.74%,17.39%
4.21%,3.42%,-0.39%
-16.90%,3.84%,-6.32%
6.01%,5.33%,3.31%
33.37%,11.64%,19.41%
16.30%,1.43%,0.03%
4.04%,8.36%,4.60%
26.70%,55.56%,101.39%
-5.10%,9.08%,-14.13%
-6.80%,5.44%,-3.11%
7.79%,10.95%,3.56%
-8.94%,6.95%,6.38%
2.00%,6.80%,8.92%
14.23%,17.50%,5.97%
10.58%,8.91%,-3.83%
15.44%,5.81%,6.96%
4.55%,18.06%,1.45%
7.74%,6.59%,4.42%
3.20%,4.11%,5.62%
9.21%,12.07%,0.56%
0.00%,9.02%,0.19%
21.89%,6.44%,11.61%
14.37%,9.93%,11.17%
2.34%,-0.68%,-11.57%
25.68%,11.49%,0.22%
5.47%,17.41%,7.07%
15.97%,22.24%,26.08%
16.04%,15.90%,22.00%
5.57%,7.87%,-3.30%
-20.53%,9.30%,2.72%
35.80%,9.62%,12.82%
5.89%,13.17%,13.85%
0.79%,34.97%,9.94%
3.79%,15.36%,0.43%
-13.50%,2.49%,10.38%
-4.57%,6.19%,-0.05%
2.18%,4.34%,0.78%
13.09%,10.85%,6.61%
10.00%,12.04%,25.13%
10.09%,12.71%,27.57%
,,
,,
,,
,,
,,
,,
,,
